id,year,overall_pick,team,player,college,years_active,games,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
847,2004,4,LAC,Shaun Livingston,,14.0,833.0,5231.0,1989.0,2483.0,0.486,0.178,0.794,6.3,2.4,3.0,29.9,0.084,-1.0,4.3
848,2004,5,WAS,Devin Harris,Wisconsin,15.0,985.0,10597.0,2151.0,3869.0,0.432,0.325,0.796,10.8,2.2,3.9,54.9,0.11,0.6,15.5
849,2004,6,ATL,Josh Childress,Stanford,8.0,391.0,3548.0,1850.0,609.0,0.522,0.329,0.779,9.1,4.7,1.6,25.7,0.118,0.8,7.4
850,2004,7,PHO,Luol Deng,Duke,15.0,902.0,13361.0,5468.0,2042.0,0.456,0.332,0.769,14.8,6.1,2.3,74.0,0.115,0.9,22.9
851,2004,8,TOR,Rafael Araújo,BYU,3.0,139.0,389.0,395.0,41.0,0.405,0.25,0.679,2.8,2.8,0.3,-0.4,-0.013,-7.2,-2.1
852,2004,9,PHI,Andre Iguodala,Arizona,18.0,1223.0,13951.0,6030.0,5128.0,0.463,0.33,0.709,11.4,4.9,4.2,100.3,0.122,2.2,41.3
853,2004,10,CLE,Luke Jackson,Oregon,4.0,73.0,252.0,89.0,58.0,0.357,0.36,0.732,3.5,1.2,0.8,0.2,0.01,-3.7,-0.3
854,2004,11,GSW,Andris Biedriņš,,10.0,516.0,3247.0,3631.0,467.0,0.594,0.0,0.5,6.3,7.0,0.9,30.7,0.132,-0.4,4.6
855,2004,12,SEA,Robert Swift,,4.0,97.0,416.0,376.0,20.0,0.506,,0.61,4.3,3.9,0.2,1.7,0.054,-3.8,-0.7
856,2004,13,POR,Sebastian Telfair,,10.0,564.0,4183.0,898.0,1960.0,0.39,0.319,0.777,7.4,1.6,3.5,5.0,0.02,-3.4,-4.2
857,2004,14,UTA,Kris Humphries,Minnesota,13.0,800.0,5350.0,4314.0,556.0,0.463,0.293,0.7,6.7,5.4,0.7,30.3,0.102,-1.7,1.2
858,2004,15,BOS,Al Jefferson,,14.0,915.0,14343.0,7690.0,1347.0,0.499,0.121,0.711,15.7,8.4,1.5,71.0,0.13,1.2,21.3
903,2005,1,MIL,Andrew Bogut,Utah,14.0,706.0,6808.0,6112.0,1546.0,0.535,0.12,0.557,9.6,8.7,2.2,50.6,0.122,1.2,16.0
